stad, kommun
Merlänna,Strängnäs
Mjällby,Sölvesborgs
Mjällom,Kramfors
Mjöbäck,Svenljunga
Mjöhult,Höganäs
Mjölby,Mjölby
Mjönäs,Hagfors
Mockfjärd,Gagnefs
Mogata,Söderköpings
Mohed,Söderhamns
Moheda,Alvesta
Moholm,Töreboda
Moliden,Örnsköldsviks
Molkom,Karlstads
Mollösund,Orusts
Mora,Mora
Morgongåva,Heby
Morup,Falkenbergs
Motala,Motala
Mullhyttan,Lekebergs
Mullsjö,Mullsjö
Munga,Västerås
Munka-Ljungby,Ängelholms
Munkedal,Munkedals
Munkfors,Munkfors
Munktorp,Köpings
Muskö,Haninge
Myckle,Skellefteå
Myresjö,Vetlanda
Myrviken,Bergs
Målerås,Nybro
Målilla,Hultsfreds
Målsta,Östersunds
Månkarbo,Tierps
Måttsund,Luleå
Märsta,Sigtuna
Märsön,Enköpings
Möklinta,Sala
Mölle,Höganäs
Mölltorp,Karlsborgs
Mölnbo,Södertälje
Mölnlycke,Härryda
Mönsterås,Mönsterås
Mörarp,Helsingborgs
Mörbylånga,Mörbylånga
Mörlunda,Hultsfreds
Mörrum,Karlshamns
Mörsil,Åre
Naglarby,Säters
Nedansjö,Sundsvalls
NedreGärdsjö,Rättviks
Nibble,Södertälje
Nikkala,Haparanda
Nissafors,Gnosjö
Nitta,Ulricehamns
Nittorp,Tranemo
